t,vLoca,vLocb,vLocc
0.0105710001662374,514635.625,-691299.625,161102.484375
0.0105720004066825,514728.09375,-691140.125,160872.109375
0.0105729997158051,514753.40625,-690895.25,160628.1875
0.0105739999562502,514718.9375,-690573.625,160371.484375
0.0105750001966953,514634.5,-690185.875,160102.1875
0.0105760004371405,514511.84375,-689744.1875,159820.234375
0.010576999746263,514363.90625,-689262,159525.796875
0.0105779999867082,514204.28125,-688753.8125,159219.453125
0.0105790002271533,514046.375,-688234.5625,158902.40625
0.0105799995362759,513903.125,-687719.1875,158576.5625
0.010580999776721,513786.28125,-687222.0625,158244.46875
0.0105820000171661,513706.25,-686756.875,157909.296875
0.0105830002576113,513671.75,-686335.875,157574.734375
0.0105839995667338,513689.71875,-685970.0625,157244.84375
0.010584999807179,513765.1875,-685668.8125,156923.96875
0.0105860000476241,513901.375,-685439.625,156616.59375
0.0105870002880692,514099.65625,-685288.3125,156327.171875
0.0105879995971918,514359.65625,-685218.8125,156060
0.0105889998376369,514679.375,-685233.1875,155819.140625
0.0105900000780821,515055.4375,-685331.625,155608.28125
0.0105910003185272,515483.09375,-685512.6875,155430.640625
0.0105919996276498,515956.625,-685773.3125,155288.859375
0.0105929998680949,516469.40625,-686108.9375,155185.03125
0.0105940001085401,517014.25,-686513.75,155120.609375
0.0105950003489852,517583.53125,-686981,155096.359375
0.0105959996581078,518169.59375,-687503,155112.4375
0.0105969998985529,518764.65625,-688071.4375,155168.34375
0.010598000138998,519361.3125,-688677.6875,155262.96875
0.0105990003794432,519952.4375,-689312.8125,155394.640625
0.0105999996885657,520531.375,-689967.75,155561.078125
0.0106009999290109,521092.15625,-690633.625,155759.5625
0.010602000169456,521629.28125,-691301.6875,155986.8125
0.0106030004099011,522138.0625,-691963.3125,156239.15625
0.0106039997190237,522614.40625,-692610.375,156512.515625
0.0106049999594688,523054.875,-693234.9375,156802.453125
0.010606000199914,523456.71875,-693829.625,157104.171875
0.0106070004403591,523817.875,-694387.25,157412.65625
0.0106079997494817,524136.75,-694901.25,157722.671875
0.0106089999899268,524412.4375,-695365.5625,158028.78125
0.010610000230372,524644.5,-695774.5,158325.484375
0.0106109995394945,524833,-696123.0625,158607.28125
0.0106119997799397,524978.4375,-696406.6875,158868.640625
0.0106130000203848,525081.8125,-696621.5,159104.234375
0.0106140002608299,525144.4375,-696764.4375,159308.875
0.0106149995699525,525168.125,-696832.875,159477.65625
0.0106159998103976,525154.9375,-696825.25,159606.0625
0.0106170000508428,525107.3125,-696740.5625,159689.90625
0.0106180002912879,525027.9375,-696578.6875,159725.53125
0.0106189996004105,524919.875,-696340.4375,159709.78125
0.0106199998408556,524786.3125,-696027.25,159640.0625
0.0106210000813007,524630.75,-695641.4375,159514.375
0.0106220003217459,524456.8125,-695186.1875,159331.328125
0.0106229996308684,524268.25,-694665.1875,159090.125
0.0106239998713136,524068.9375,-694082.9375,158790.625
0.0106250001117587,523862.75,-693444.4375,158433.25
0.0106260003522038,523653.625,-692755.25,158019.015625
0.0106269996613264,523445.4375,-692021.3125,157549.453125
0.0106279999017715,523241.9375,-691248.8125,157026.625
0.0106290001422167,523046.84375,-690444.3125,156453.046875
0.0106300003826618,522863.59375,-689614.375,155831.671875
0.0106309996917844,522695.53125,-688765.6875,155165.796875
0.0106319999322295,522545.75,-687904.875,154459.0625
0.0106330001726747,522417.03125,-687038.5625,153715.375
0.0106340004131198,522311.9375,-686173,152938.859375
0.0106349997222424,522232.78125,-685314.5,152133.828125
0.0106359999626875,522181.53125,-684468.875,151304.765625
0.0106370002031326,522159.875,-683641.75,150456.171875
0.0106380004435778,522169.21875,-682838.4375,149592.65625
0.0106389997527003,522210.65625,-682063.875,148718.8125
0.0106399999931455,522285.0625,-681322.625,147839.203125
0.0106410002335906,522392.96875,-680618.75,146958.34375
0.0106419995427132,522534.71875,-679956.125,146080.609375
0.0106429997831583,522710.375,-679338.0625,145210.265625
0.0106440000236034,522919.78125,-678767.5625,144351.40625
0.0106450002640486,523162.59375,-678247.0625,143507.9375
0.0106459995731711,523438.21875,-677778.75,142683.5
0.0106469998136163,523745.9375,-677364.3125,141881.53125
0.0106480000540614,524084.8125,-677004.9375,141105.1875
0.0106490002945065,524453.75,-676701.5,140357.3125
0.0106499996036291,524851.5,-676454.4375,139640.484375
0.0106509998440742,525276.6875,-676263.8125,138956.953125
0.0106520000845194,525727.6875,-676129.1875,138308.671875
0.0106530003249645,526202.9375,-676049.8125,137697.21875
0.0106539996340871,526700.5625,-676024.5,137123.90625
0.0106549998745322,527218.625,-676051.75,136589.71875
0.0106560001149774,527755.25,-676129.8125,136095.296875
0.0106570003554225,528308.125,-676256.375,135641
0.0106579996645451,528875.25,-676429.0625,135226.890625
0.0106589999049902,529454.25,-676645.1875,134852.703125
0.0106600001454353,530042.875,-676901.75,134517.953125
0.0106610003858805,530638.8125,-677195.6875,134221.84375
0.010661999695003,531239.6875,-677523.5,133963.375
0.0106629999354482,531843.1875,-677881.9375,133741.25
0.0106640001758933,532447.125,-678267.3125,133554
0.0106650004163384,533049.1875,-678676,133399.9375
0.010665999725461,533647.25,-679104.375,133277.1875
0.0106669999659061,534239.25,-679548.6875,133183.671875
0.0106680002063513,534823.25,-680005.3125,133117.203125
0.0106690004467964,535397.5,-680470.5625,133075.40625
0.010669999755919,535960.3125,-680940.9375,133055.8125
0.0106709999963641,536510.1875,-681412.9375,133055.828125
0.0106720002368093,537045.8125,-681883.1875,133072.796875
0.0106729995459318,537566.0625,-682348.625,133104.0625
0.010673999786377,538070.3125,-682806.8125,133147.171875
0.0106750000268221,538558.75,-683256.8125,133200.28125
0.0106760002672672,539032.5,-683699.5,133262.40625
0.0106769995763898,539493.125,-684136.625,133332.859375
0.0106779998168349,539940.75,-684567,133409.6875
0.0106790000572801,540372.25,-684982.5,133487.671875
0.0106800002977252,540780.375,-685366.9375,133557.8125
0.0106809996068478,541156.0625,-685700.4375,133609.15625
0.0106819998472929,541492.875,-685967.1875,133632.34375
0.010683000087738,541790.625,-686163.1875,133622.96875
0.0106840003281832,542056.375,-686298.4375,133582.734375
0.0106849996373057,542302.875,-686393.375,133518.15625
0.0106859998777509,542543.875,-686471.5,133437.703125
0.010687000118196,542790.25,-686552,133348.84375
0.0106880003586411,543047.125,-686644.8125,133256
0.0106889996677637,543313.5,-686749.4375,133159.640625
0.0106899999082088,543583.5,-686856.4375,133056.75
0.010691000148654,543848.5625,-686951.3125,132941.96875
0.0106920003890991,544100,-687018.9375,132809.296875
0.0106929996982217,544331,-687046.5625,132653.453125
0.0106939999386668,544537.6875,-687026.8125,132470.953125
0.010695000179112,544719.5,-686957.6875,132260.515625
0.0106960004195571,544878.75,-686842.5625,132022.890625
0.0106969997286797,545020,-686688.125,131760.21875
0.0106979999691248,545148.625,-686502.9375,131475.328125
0.0106990002095699,545270.375,-686295.5,131170.953125
0.0107000004500151,545390.0625,-686072.6875,130849.203125
0.0107009997591376,545511.25,-685839,130511.1640625
0.0107019999995828,545635.9375,-685596.1875,130156.8671875
